순번,링크,제목,평점,평가수,가격
1,https://image.withstatic.com/295/32/102/6f52bd9340b54ae8bc413e18ec7259e0.png?width=792&height=480&format=webp,★당일특가★ 세인트존스 호텔,9.2,10290,159495
2,https://image.withstatic.com/194/357/461/ccf578228d59481187d11fff79e5af2f.jpg?width=792&height=480&format=webp,스카이베이호텔 경포,9.1,6929,163860
3,https://image.withstatic.com/371/242/92/141062dc7704452fae0c8e1685e4457c.jpg?width=792&height=480&format=webp,정동진 썬크루즈호텔,9.1,3219,176000
19,https://image.withstatic.com/313/180/34/4752a2a10c51421d850d1da74606ebca.jpg?width=792&height=480&format=webp,강릉 블리스 가족펜션,9.4,465,65500
20,https://image.withstatic.com/160/21/499/bde5132002584a45b03e54211ac74e6f.jpg?width=792&height=480&format=webp,강릉 경포디슬로펜션,9.9,177,80863
21,https://image.withstatic.com/property/2025/10/23/c6/c6ad711a675046978215d59587f1042c.jpeg?width=792&height=480&format=webp,경포대 에이제이 호텔,8.8,746,29500
22,https://image.withstatic.com/268/339/67/1f1a4ea8adc3458398e25907caf36b1c.jpg?width=792&height=480&format=webp,강릉 쏠하우스 펜션,9.5,197,91550
23,https://image.withstatic.com/321/413/293/3ee1535a1bfd4e1a859a880fadd178a7.jpg?width=792&height=480&format=webp,강릉 호텔 보름,9.7,307,40500
24,https://image.withstatic.com/452/225/236/d7219af461cc4959b7b79c9a7818f2c9.png?width=792&height=480&format=webp,강릉 파인아트라벨,9.1,2018,109000
25,https://image.withstatic.com/87/377/151/2d516a2c5ef2456aaab3f57341b311ac.jpg?width=792&height=480&format=webp,경포대 호텔 주노,9.4,1346,65500
26,https://image.withstatic.com/378/270/18/b93ea032c0984022afc11c7c1166eea2.jpg?width=792&height=480&format=webp,강릉 더뷰스파펜션,9.8,317,169000
27,https://image.withstatic.com/497/193/40/c4bd1e2513d646399fdb7e1f2dbd5a8e.jpg?width=792&height=480&format=webp,경포대 파라다이스,9.2,2926,30500
28,https://image.withstatic.com/101/323/354/1472fa5570d24383ae1dd2a5d0f67607.jpg?width=792&height=480&format=webp,강릉관광호텔,9.3,1211,102600
30,https://image.withstatic.com/461/453/244/89b1ee99ea4a4e2582d3e7522c002504.jpg?width=792&height=480&format=webp,강릉 까사드마르,9.9,354,169000
32,https://image.withstatic.com/property/2025/11/25/9f/9f21670abf4b411dbd54d9ff3dc73816.jpg?width=792&height=480&format=webp,하이오션 경포,9.3,1313,67284
33,https://image.withstatic.com/256/56/145/d3319f781289456db939066053c55bb5.jpg?width=792&height=480&format=webp,강릉 루이스 LOUIS 호텔,9.6,1507,30000
34,https://image.withstatic.com/28/358/485/502855dddce04dc6b8b665f0021e4dc8.jpg?width=792&height=480&format=webp,강릉 스테이휴,9.8,247,139000
35,https://image.withstatic.com/150/126/6/bf3c62f60a51422fac568f98b22fb717.jpeg?width=792&height=480&format=webp,경포대 호텔 더 원-THE ONE,9.7,646,72000
36,https://image.withstatic.com/348/439/101/9f79f2ddb6864a57846f44c7322aba7c.jpg?width=792&height=480&format=webp,강릉 르샤트리,9.6,619,64600
38,https://image.withstatic.com/347/186/141/ea0e228c8bd34596b8227c1e8c792168.jpg?width=792&height=480&format=webp,강릉 라벨르 호텔 프리미어,9.8,159,30000
39,https://image.withstatic.com/313/305/479/13086cca5b5848eea7574abfe0874974.jpg?width=792&height=480&format=webp,강릉 라미아까사 풀빌라,9.6,450,122100
40,https://image.withstatic.com/133/498/136/73ab5bca2dd446ab8ede4be0d4543a8a.jpg?width=792&height=480&format=webp,강릉 에이치에비뉴-강릉역점,9.6,188,30000
41,https://image.withstatic.com/property/2025/08/27/74/74b7f89f199449fd90ea16ab30808f0b.jpg?width=792&height=480&format=webp,강릉 언제나소돌펜션,9.8,231,140000
42,https://image.withstatic.com/146/478/286/c7cc2bcf3669452fbec51f854a1bac82.jpg?width=792&height=480&format=webp,강릉 라클라우드펜션,9.5,159,87100
43,https://image.withstatic.com/221/431/75/4be71539fef04a5398abc434b937f379.jpg?width=792&height=480&format=webp,HOTEL 여기어때 - 경포,9.5,2018,63500
44,https://image.withstatic.com/132/278/331/548fafb4b62f48828f9fe00ccfdc985b.jpg?width=792&height=480&format=webp,경포대 WYNN-윈,8.7,963,45500
48,https://image.withstatic.com/67/107/412/322d26a7dac842cc9c1008dd8d24e5ce.jpg?width=792&height=480&format=webp,강릉 스카리아풀빌라,9.7,121,166563
49,https://image.withstatic.com/147/139/7/7f4d23f75bf540cc8576e0fef8830236.jpg?width=792&height=480&format=webp,경포대 이룸펜텔,9.2,793,35000
50,https://image.withstatic.com/228/364/257/f1bb3f48e6f843348c3e574f34b103f7.jpg?width=792&height=480&format=webp,강릉 휴가펜션,9.3,371,43900
51,https://image.withstatic.com/366/425/38/6f4b3e2b45904f1aa6e0d72eb29fea76.jpg?width=792&height=480&format=webp,강릉 호텔 야자 YAJA-강릉역점,9.8,215,50500
52,https://image.withstatic.com/29/257/152/66c4a905454f4ee181a9880b1c1449e4.jpg?width=792&height=480&format=webp,경포 에메랄드 호텔,9.0,1357,60000
56,https://image.withstatic.com/450/21/139/99cfe6ab800f4d09a79d5117244c90ab.jpg?width=792&height=480&format=webp,강릉 파인시티호텔,9.4,1030,45000
57,https://image.withstatic.com/65/417/323/944396c543fe44b18d9c86fd99472b67.jpg?width=792&height=480&format=webp,강릉 S202 펜션,9.4,134,150000
58,https://image.withstatic.com/266/194/53/dacb86f2e9734522ae5de48bb42ef63d.jpg?width=792&height=480&format=webp,강릉 아라스파펜션,8.9,523,53100
61,https://image.withstatic.com/225/463/389/1ce8f7ea864a4e9c98f4865bcf291a7e.jpg?width=792&height=480&format=webp,경포대 그랑블루,9.0,2270,30500
62,https://image.withstatic.com/65/302/130/5916b6ce85124f0fa5d2eb41182239a2.jpg?width=792&height=480&format=webp,강릉 피크닉,9.5,1754,20000
63,https://image.withstatic.com/190/405/351/7024cad629dc4fe1b7c7cd74dc231604.jpg?width=792&height=480&format=webp,경포대 호텔큐브,8.6,1140,80000
64,https://image.withstatic.com/472/394/306/28cba1a852384756bb7f1cf8f32fc867.jpg?width=792&height=480&format=webp,강릉 라포엠펜션,9.8,187,146800
65,https://image.withstatic.com/379/209/156/f69e3f5c519f4e5a9c7b2ccb954046a4.jpg?width=792&height=480&format=webp,경포대 브라운도트 호텔,9.7,543,117000
66,https://image.withstatic.com/39/282/461/0e403e933bcf4de69ee4052120ae2ea7.jpg?width=792&height=480&format=webp,경포대 라벨르 호텔-La belle,9.8,374,30000
67,https://image.withstatic.com/137/5/18/ec25b35a68574a118db3cef9e522089c.jpg?width=792&height=480&format=webp,강릉 HOTEL 더샾,9.5,1627,35000
70,https://image.withstatic.com/320/426/55/a85e1b3ded874666bd80a09d2ad30850.jpg?width=792&height=480&format=webp,강릉 위드 호텔,9.5,697,45000
71,https://image.withstatic.com/property/2025/08/29/7f/7f5e66294c3a42d19a89ea2197d16381.jpg?width=792&height=480&format=webp,강릉 cn6 스파 풀빌라 펜션,9.8,154,156860
72,https://image.withstatic.com/229/89/173/abec86aadcdb4afe82c3ff25929abb46.jpg?width=792&height=480&format=webp,강릉 스테이구구,9.4,194,60100
74,https://image.withstatic.com/property/2025/10/21/a3/a3f381d0f23f4e308171708ef6035822.jpg?width=792&height=480&format=webp,강릉 그란데마레풀빌라,9.9,175,115100
75,https://image.withstatic.com/361/172/231/a00527455c694814b6a0b9ce4af73acd.jpg?width=792&height=480&format=webp,강릉 리치문 펜션,9.4,290,182000
76,https://image.withstatic.com/214/361/328/336dc73b5f86479a99bf048e17600b44.jpg?width=792&height=480&format=webp,강릉씨티호텔,9.4,1195,129010
77,https://image.withstatic.com/133/177/259/5a3f1f49942b49558e744cf0792359b8.jpg?width=792&height=480&format=webp,강릉 테레인바이더블류스파펜션,9.5,295,64800
78,https://image.withstatic.com/89/130/466/370d0599cb7c4c2b9b1d12a45bf2b4e6.jpg?width=792&height=480&format=webp,경포대 에이치에비뉴 호텔,9.3,903,80000
79,https://image.withstatic.com/393/21/106/c38c4d7eacda4bfe8b8abea1aa2f5c8a.jpg?width=792&height=480&format=webp,강릉 W스파펜션,9.9,174,70090
80,https://image.withstatic.com/74/493/290/a94f67df54ab4cdab66133dc75e2e44d.jpg?width=792&height=480&format=webp,강릉 더강문 풀빌라&스파,9.7,196,116100
103,https://image.withstatic.com/188/346/416/01caff641f864216af53cde84414ce8b.jpg?width=792&height=480&format=webp,강릉 오엔스테이,9.9,168,132525
104,https://image.withstatic.com/450/295/143/a24612b2b2d54e37967a1092b043d57c.jpg?width=792&height=480&format=webp,강릉 더퍼스트 펜션,9.6,631,153533
122,https://image.withstatic.com/143/334/333/71e1d573c38848af859de29c5de9fe0e.jpg?width=792&height=480&format=webp,강릉 엘,9.0,710,35500
123,https://image.withstatic.com/286/251/440/fb9b2bef100a4b7caa5c46fdc40075c7.jpg?width=792&height=480&format=webp,강릉 스테이어스펜션,9.9,232,82863
124,https://image.withstatic.com/337/337/73/1165f8bec4f0425e9d3d0c2ccbba9435.jpg?width=792&height=480&format=webp,주문진 루시아호텔,9.4,106,66000
144,https://image.withstatic.com/466/227/97/465a349213de47dcae7af2a82c39631f.jpg?width=792&height=480&format=webp,경포대 호텔 랑,8.4,846,30000
145,https://image.withstatic.com/118/199/278/2751946bc23b4c2781ae6c5e659f119e.jpg?width=792&height=480&format=webp,경포대 Y&G,9.4,827,30000
162,https://image.withstatic.com/241/209/438/99c19765851849b5a8a0d9244d6bc433.jpg?width=792&height=480&format=webp,강릉 강문스테이,9.7,290,58500
163,https://image.withstatic.com/415/49/284/670d8a27f1c64171bf35b22e1e04e9c1.jpeg?width=792&height=480&format=webp,강릉 호텔몽,9.4,653,60000
222,https://image.withstatic.com/200/37/101/473e912d40b64121a722299fd1551fe0.jpg?width=792&height=480&format=webp,베니키아호텔 산과바다 주문진,8.5,642,79000
223,https://image.withstatic.com/property/2025/08/28/1d/1d80ac540e2141f6beeeab1a73dbbed8.jpg?width=792&height=480&format=webp,강릉 페리아902 키즈 가족 스파 펜션,9.7,214,119000
243,https://image.withstatic.com/122/309/16/58f906cb656a4221895d8ab14bd8429b.jpg?width=792&height=480&format=webp,강릉 글래드 펜션,9.9,203,54900
245,https://image.withstatic.com/361/178/116/5d310afeb6c840f682ae92b1b99db15f.jpg?width=792&height=480&format=webp,강릉 시드니,8.9,244,50000
263,https://image.withstatic.com/273/383/406/3c1926eae0524997979f013e9e4f8bfb.jpg?width=792&height=480&format=webp,강릉 경포대 S9 바닷가 가족 스파 펜션,9.9,652,99000
264,https://image.withstatic.com/172/155/453/b28737e895494ecc9e551a483d4e30f8.jpg?width=792&height=480&format=webp,루이스 호텔 강릉,9.2,129,55000
282,https://image.withstatic.com/270/427/2/9ab5892f530246b3a04e4d185bd673c0.jpg?width=792&height=480&format=webp,경포대 산토리니,8.8,396,37000
284,https://image.withstatic.com/property/2025/10/14/5e/5e22a6f3a48041c798041579293a5461.jpg?width=792&height=480&format=webp,강릉 아카펠라게스트하우스,9.9,163,30000
324,https://image.withstatic.com/483/155/309/fc846decd796443cabff91f10609cb91.jpg?width=792&height=480&format=webp,다우리조텔 정동진,8.4,172,50000
325,https://image.withstatic.com/416/496/337/d1c5171499464b3dafd3517b3b25ef91.jpg?width=792&height=480&format=webp,강릉 나이아드펜션,8.4,308,33600
342,https://image.withstatic.com/property/2025/10/10/e6/e6cf91f3d25442d5885447712f458ec6.jpg?width=792&height=480&format=webp,강릉 쉼표펜션,9.3,132,69400
362,https://image.withstatic.com/216/186/354/acd186009cf9473ba7d10334182f03d4.jpg?width=792&height=480&format=webp,강릉 니스파크,9.4,334,40000
423,https://image.withstatic.com/205/463/261/98a9bef9525d46d380ed45e6ad4ab73a.jpg?width=792&height=480&format=webp,주문진 코리아,8.0,198,50000
463,https://image.withstatic.com/193/287/172/f92c0071f56847278214daf679600e2f.jpg?width=792&height=480&format=webp,강릉 아띠랑스 스파펜션,8.1,160,62100
464,https://image.withstatic.com/property/2025/07/29/d7/d75db971cdab480a80b2a20dd6aa1e13.jpg?width=792&height=480&format=webp,강릉 빌리언스,8.7,102,40000
485,https://image.withstatic.com/498/221/374/84ffcd1b89f34aca9b34b1d455d659b6.jpg?width=792&height=480&format=webp,경포대 코모도,7.9,240,32000
